Source identifier ,Plume latitude (deg),Plume longitude (deg),Candidate identifier,Date of detection,Time of detection (UTC),Source type (best estimate),Sectors (IPCC),Qplume (kg/hr): Plume emissions,Sigma Qplume (kg/hr): Uncertainty for plume emissions
S00818,38.972096,-121.923133,ang20170831t225148-C,8/31/17,22:51,oil/gas tank,1B2 Oil & Natural Gas,,
S00819,33.646633,-117.978157,ang20170901t220350-A,9/1/17,22:03,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,,
S00820,33.638199,-117.956988,ang20170922t224720-A,9/22/17,22:47,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,,
S00821,34.005452,-118.376334,ang20170901t202358-B,9/1/17,20:23,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,,
S00821,34.005452,-118.376334,ang20171023t210905-E,10/23/17,21:09,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,,
S00822,34.005215,-118.376808,ang20171024t192146-E,10/24/17,19:21,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,,
S00823,34.011707,-118.374457,ang20171024t194853-D,10/24/17,19:48,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,,
S00826,35.496024,-119.009044,ang20170902t194119-A,9/2/17,19:41,oil/gas stack,1B2 Oil & Natural Gas,314,91
S00826,35.496024,-119.009044,ang20170905t193520-A,9/5/17,19:35,oil/gas stack,1B2 Oil & Natural Gas,102,70
S00827,35.47328,-119.05815,ang20170902t190603-A,9/2/17,19:06,oil/gas tank,1B2 Oil & Natural Gas,115,31
S00827,35.47328,-119.05815,ang20170902t191312-C,9/2/17,19:13,oil/gas tank,1B2 Oil & Natural Gas,108,57
S00827,35.47328,-119.05815,ang20170905t190452-A,9/5/17,19:04,oil/gas tank,1B2 Oil & Natural Gas,119,64
S00827,35.47328,-119.05815,ang20170905t191138-B,9/5/17,19:11,oil/gas tank,1B2 Oil & Natural Gas,127,70
S00827,35.47328,-119.05815,ang20170908t210512-B,9/8/17,21:05,oil/gas tank,1B2 Oil & Natural Gas,532,106
S00827,35.47328,-119.05815,ang20170926t210253-C,9/26/17,21:02,oil/gas tank,1B2 Oil & Natural Gas,108,27
S00828,35.509282,-119.036538,ang20170908t211901-A,9/8/17,21:19,oil/gas tank,1B2 Oil & Natural Gas,740,48
S00828,35.509282,-119.036538,ang20171026t210059-B,10/26/17,21:00,oil/gas tank,1B2 Oil & Natural Gas,118,40
S00829,35.531036,-119.074247,ang20170908t211901-C,9/8/17,21:19,oil/gas tank,1B2 Oil & Natural Gas,301,285
S00830,35.562534,-119.098751,ang20171026t210059-F,10/26/17,21:00,oil/gas tank,1B2 Oil & Natural Gas,95,17
S00832,35.535143,-119.084334,ang20171026t210059-D,10/26/17,21:00,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,103,28
