Source identifier ,Plume latitude (deg),Plume longitude (deg),Candidate identifier,Date of detection,Time of detection (UTC),Source type (best estimate),Sectors (IPCC),Qplume (kg/hr): Plume emissions,Sigma Qplume (kg/hr): Uncertainty for plume emissions
S00975,35.278327,-119.48289,ang20170615t234140-E,6/15/17,23:41,gas processing plant,1B2 Oil & Natural Gas,180,44
S00976,35.187228,-119.111858,ang20170615t234922-B,6/15/17,23:49,dairy/manure,3A2 Manure Management,65,20
S00976,35.187228,-119.111858,ang20170926t220057-A,9/26/17,22:00,dairy/manure,3A2 Manure Management,99,51
S00977,35.207285,-119.171533,ang20170615t234922-C,6/15/17,23:49,dairy/manure,3A2 Manure Management,112,54
S00978,33.926373,-118.430251,ang20170616t183155-A,6/16/17,18:31,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,27,18
S00979,35.201312,-119.052763,ang20170616t194729-B,6/16/17,19:47,dairy/manure,3A2 Manure Management,117,28
S00979,35.201312,-119.052763,ang20170620t161814-A,6/20/17,16:18,dairy/manure,3A2 Manure Management,,
S00980,35.202688,-119.172569,ang20170616t200614-A,6/16/17,20:06,dairy/manure,3A2 Manure Management,109,72
S00981,35.477911,-119.447917,ang20170616t201635-C,6/16/17,20:16,dairy/manure,3A2 Manure Management,78,8
S00982,35.935245,-119.398842,ang20170616t203426-A,6/16/17,20:34,dairy/manure,3A2 Manure Management,,
S00983,35.94627,-119.398027,ang20170616t203426-B,6/16/17,20:34,dairy/manure,3A2 Manure Management,267,84
S00984,36.029264,-119.335803,ang20170920t194154-B,9/20/17,19:41,dairy/manure,3A2 Manure Management,121,38
S00986,35.957335,-119.372851,ang20170616t203426-C,6/16/17,20:34,dairy/manure,3A2 Manure Management,618,397
S00987,35.972842,-119.361096,ang20170616t203426-D,6/16/17,20:34,dairy/manure,3A2 Manure Management,112,20
S00988,36.058594,-119.3797,ang20170616t204313-C,6/16/17,20:43,dairy/manure,3A2 Manure Management,156,44
S00989,36.072266,-119.364098,ang20170616t204313-D,6/16/17,20:43,dairy/manure,3A2 Manure Management,276,81
S00990,36.081472,-119.337219,ang20170616t204313-F,6/16/17,20:43,dairy/manure,3A2 Manure Management,68,41
S00993,36.184025,-119.219433,ang20170616t204313-K,6/16/17,20:43,dairy/manure,3A2 Manure Management,42,13
S00994,36.061093,-119.402064,ang20170616t205457-B,6/16/17,20:54,dairy/manure,3A2 Manure Management,1971,707
S00996,36.047806,-119.45597,ang20170616t210522-B,6/16/17,21:05,dairy/manure,3A2 Manure Management,222,23
S00997,36.159362,-119.28295,ang20170616t210522-H,6/16/17,21:05,dairy/manure,3A2 Manure Management,126,26
S00998,36.207229,-119.759032,ang20170616t213844-A,6/16/17,21:38,dairy/manure,3A2 Manure Management,148,25
S01000,37.867614,-121.035209,ang20170618t173515-B,6/18/17,17:35,dairy/manure,3A2 Manure Management,27,7
S01001,37.850553,-121.112993,ang20170618t175130-A,6/18/17,17:51,dairy/manure,3A2 Manure Management,84,28
S01003,37.185268,-121.66388,ang20170618t200113-A,6/18/17,20:01,landfill,4A1 Managed Waste Disposal Sites,196,111
S01003,37.185268,-121.66388,ang20170618t201101-C,6/18/17,20:11,landfill,4A1 Managed Waste Disposal Sites,20,13
S01007,37.073418,-120.39228,ang20170618t223820-A,6/18/17,22:38,dairy/manure,3A2 Manure Management,42,18
S01008,37.058513,-120.491404,ang20170618t230731-A,6/18/17,23:07,dairy/manure,3A2 Manure Management,294,125
S01009,36.045093,-119.456122,ang20170618t235257-A,6/18/17,23:52,dairy/manure,3A2 Manure Management,462,162
S01010,35.186715,-119.103241,ang20170620t162400-A,6/20/17,16:24,dairy/manure,3A2 Manure Management,,
S01011,35.18741,-119.113516,ang20170620t162400-B,6/20/17,16:24,dairy/manure,3A2 Manure Management,,
S01011,35.18741,-119.113516,ang20170620t163015-A,6/20/17,16:30,dairy/manure,3A2 Manure Management,,
S01011,35.18741,-119.113516,ang20170926t220655-C,9/26/17,22:06,dairy/manure,3A2 Manure Management,230,72
S01012,35.187087,-119.117954,ang20170620t163015-B,6/20/17,16:30,dairy/manure,3A2 Manure Management,,
S01013,35.213363,-119.186058,ang20170620t163015-D,6/20/17,16:30,dairy/manure,3A2 Manure Management,,
S01014,35.177648,-119.124897,ang20170620t163615-A,6/20/17,16:36,dairy/manure,3A2 Manure Management,82,75
S01017,35.268488,-119.382265,ang20170620t164237-B,6/20/17,16:42,oil/gas pumpjack,1B2 Oil & Natural Gas,75,63
S01018,35.26743,-119.408629,ang20170620t164237-C,6/20/17,16:42,oil/gas pumpjack,1B2 Oil & Natural Gas,77,55
S01019,35.278664,-119.456848,ang20170620t164237-D,6/20/17,16:42,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,47,35
S01022,35.29517,-119.528032,ang20170620t164237-L,6/20/17,16:42,oil/gas gathering line,1B2 Oil & Natural Gas,36,26
S01023,35.30059,-119.543821,ang20170620t164237-N,6/20/17,16:42,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,59,41
S01024,35.305499,-119.565424,ang20170620t164237-O,6/20/17,16:42,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,106,76
S01025,35.282436,-119.506192,ang20170620t165600-F,6/20/17,16:56,oil/gas compressor,1B2 Oil & Natural Gas,27,20
S01026,35.286408,-119.510296,ang20170620t165600-G,6/20/17,16:56,oil/gas compressor,1B2 Oil & Natural Gas,30,21
S01027,35.279335,-119.437311,ang20170620t170002-A,6/20/17,17:00,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,47,22
S01028,37.761412,-121.726523,ang20170620t193453-A,6/20/17,19:34,landfill,4A1 Managed Waste Disposal Sites,105,33
S01028,37.761412,-121.726523,ang20170620t194520-F,6/20/17,19:45,landfill,4A1 Managed Waste Disposal Sites,183,63
S01030,37.499661,-122.409307,ang20170618t184938-C,6/18/17,18:49,landfill,4A1 Managed Waste Disposal Sites,581,338
S01031,37.500635,-122.411883,ang20170618t184938-D,6/18/17,18:49,landfill,4A1 Managed Waste Disposal Sites,404,136
S01034,35.476921,-119.372748,ang20171113t214656-A,11/13/17,21:46,dairy/manure,3A2 Manure Management,62,21
S01035,35.492085,-119.375904,ang20171113t214656-B,11/13/17,21:46,dairy/manure,3A2 Manure Management,44,8
S01036,35.204594,-119.197846,ang20171113t212445-A,11/13/17,21:24,dairy/manure,3A2 Manure Management,266,38
S01037,35.215543,-119.204947,ang20171113t212445-B,11/13/17,21:24,dairy/manure,3A2 Manure Management,653,130
S01038,35.21535,-119.212943,ang20171113t212445-C,11/13/17,21:24,dairy/manure,3A2 Manure Management,424,142
S01039,35.201439,-119.051943,ang20171010t195237-A,10/10/17,19:52,dairy/manure,3A2 Manure Management,213,67
S01039,35.201439,-119.051943,ang20171113t210409-A,11/13/17,21:04,dairy/manure,3A2 Manure Management,190,52
S01040,35.246298,-119.141452,ang20171113t210409-B,11/13/17,21:04,dairy/manure,3A2 Manure Management,,
S01041,35.286135,-119.140566,ang20171113t184215-A,11/13/17,18:42,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,643,307
S01041,35.286135,-119.140566,ang20171113t205334-A,11/13/17,20:53,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,569,155
S01042,35.479057,-119.446978,ang20171113t204118-A,11/13/17,20:41,dairy/manure,3A2 Manure Management,117,33
S01043,35.493986,-119.450399,ang20171113t204118-B,11/13/17,20:41,dairy/manure,3A2 Manure Management,,
S01044,35.451666,-119.376495,ang20171113t202553-A,11/13/17,20:25,dairy/manure,3A2 Manure Management,,
S01045,35.249949,-119.116194,ang20171113t195800-A,11/13/17,19:58,dairy/manure,3A2 Manure Management,,
S01046,35.18867,-119.115888,ang20171010t194108-A,10/10/17,19:41,dairy/manure,3A2 Manure Management,,
S01046,35.18867,-119.115888,ang20171113t193740-D,11/13/17,19:37,dairy/manure,3A2 Manure Management,203,106
S01046,35.18867,-119.115888,ang20171113t194233-A,11/13/17,19:42,dairy/manure,3A2 Manure Management,,
S01047,35.202494,-119.17166,ang20171113t193740-B,11/13/17,19:37,dairy/manure,3A2 Manure Management,,
S01048,35.215113,-119.185913,ang20171113t193740-C,11/13/17,19:37,dairy/manure,3A2 Manure Management,,
S01050,35.479763,-119.340557,ang20171113t185442-A,11/13/17,18:54,dairy/manure,3A2 Manure Management,,
S01051,35.187804,-119.114623,ang20171113t182028-B,11/13/17,18:20,dairy/manure,3A2 Manure Management,512,141
S01052,35.178119,-119.123154,ang20171010t193506-B,10/10/17,19:35,dairy/manure - digester,3A2 Manure Management,456,159
S01052,35.178119,-119.123154,ang20171113t181422-A,11/13/17,18:14,dairy/manure - digester,3A2 Manure Management,195,45
S01056,35.166344,-119.108336,ang20171113t193740-A,11/13/17,19:37,dairy/manure,3A2 Manure Management,529,140
S01057,35.178311,-119.122364,ang20171026t202604-C,10/26/17,20:26,dairy/manure,3A2 Manure Management,199,39
S01058,35.206136,-119.173324,ang20171026t202604-D,10/26/17,20:26,dairy/manure,3A2 Manure Management,129,27
S01059,35.207673,-119.173218,ang20171010t193506-C,10/10/17,19:35,dairy/manure,3A2 Manure Management,296,72
S01060,35.215898,-119.203719,ang20171026t202604-F,10/26/17,20:26,dairy/manure - digester,3A2 Manure Management,305,66
S01064,33.717149,-117.702502,ang20161001t184552-E,10/1/16,18:45,landfill,4A1 Managed Waste Disposal Sites,442,184
S01064,33.717149,-117.702502,ang20171023t215413-G,10/23/17,21:54,landfill,4A1 Managed Waste Disposal Sites,52,34
S01064,33.717149,-117.702502,ang20171023t215413-G,10/23/17,21:54,landfill,4A1 Managed Waste Disposal Sites,54,33
S01066,33.71463,-117.705958,ang20171023t215031-C,10/23/17,21:50,landfill,4A1 Managed Waste Disposal Sites,264,174
S01066,33.71463,-117.705958,ang20171023t215413-H,10/23/17,21:54,landfill,4A1 Managed Waste Disposal Sites,27,20
S01066,33.71463,-117.705958,ang20171023t215413-H,10/23/17,21:54,landfill,4A1 Managed Waste Disposal Sites,301,202
S01071,35.477061,-119.447725,ang20171010t205643-A,10/10/17,20:56,dairy/manure,3A2 Manure Management,361,100
S01073,35.252062,-119.158669,ang20171010t195237-C,10/10/17,19:52,dairy/manure,3A2 Manure Management,155,54
S01078,37.756446,-121.657357,ang20170618t182621-H,6/18/17,18:26,landfill,4A1 Managed Waste Disposal Sites,579,92
S01078,37.756446,-121.657357,ang20171006t184157-O,10/6/17,18:41,landfill,4A1 Managed Waste Disposal Sites,131,23
S01078,37.756446,-121.657357,ang20171006t185335-S,10/6/17,18:53,landfill,4A1 Managed Waste Disposal Sites,171,116
S01078,37.756446,-121.657357,ang20171006t190448-K,10/6/17,19:04,landfill,4A1 Managed Waste Disposal Sites,104,21
S01079,38.517834,-121.187623,ang20171005t212155-A,10/5/17,21:21,landfill,4A1 Managed Waste Disposal Sites,96,41
S01080,36.190023,-119.602802,ang20170928t200057-A,9/28/17,20:00,dairy/manure,3A2 Manure Management,44,14
S01081,36.189702,-119.607458,ang20170928t200057-B,9/28/17,20:00,dairy/manure,3A2 Manure Management,113,26
S01082,36.036954,-119.347501,ang20170928t195131-A,9/28/17,19:51,dairy/manure,3A2 Manure Management,,
S01083,35.213267,-119.185702,ang20170926t220655-D,9/26/17,22:06,dairy/manure,3A2 Manure Management,110,24
S01094,36.330461,-119.568026,ang20170916t182821-A,9/16/17,18:28,dairy/manure,3A2 Manure Management,,
S01096,36.266707,-119.406327,ang20170916t190824-B,9/16/17,19:08,dairy/manure,3A2 Manure Management,90,37
S01097,36.248939,-119.496711,ang20170916t191839-C,9/16/17,19:18,dairy/manure,3A2 Manure Management,66,25
S01098,36.164198,-119.53484,ang20170916t201922-A,9/16/17,20:19,dairy/manure,3A2 Manure Management,334,112
S01099,36.170524,-119.423434,ang20170916t201922-B,9/16/17,20:19,dairy/manure,3A2 Manure Management,94,9
S01100,36.134338,-119.458849,ang20170916t203813-A,9/16/17,20:38,dairy/manure,3A2 Manure Management,198,77
S01101,36.088507,-119.379356,ang20170916t211424-A,9/16/17,21:14,dairy/manure,3A2 Manure Management,337,59
S01103,36.387637,-119.380427,ang20170919t194958-B,9/19/17,19:49,landfill,4A1 Managed Waste Disposal Sites,215,13
S01105,34.333572,-118.52219,ang20171026t215522-A,10/26/17,21:55,landfill,4A1 Managed Waste Disposal Sites,407,208
S01106,34.329963,-118.519548,ang20170918t213632-B,9/18/17,21:36,landfill,4A1 Managed Waste Disposal Sites,423,133
S01107,34.327527,-118.514682,ang20171016t190200-B,10/16/17,19:02,landfill,4A1 Managed Waste Disposal Sites,51,14
S01109,34.326453,-118.511277,ang20170309t191857-D,3/9/17,19:18,landfill,4A1 Managed Waste Disposal Sites,696,439
S01110,34.33232,-118.515602,ang20170918t202601-B,9/18/17,20:26,landfill,4A1 Managed Waste Disposal Sites,181,63
S01117,35.474632,-119.431141,ang20171113t191546-B,11/13/17,19:15,dairy/manure,3A2 Manure Management,,
S01117,35.474632,-119.431141,ang20171113t203745-A,11/13/17,20:37,dairy/manure,3A2 Manure Management,573,100
S01119,35.473393,-119.431685,ang20170915t174311-B,9/15/17,17:43,dairy/manure,3A2 Manure Management,72,27
S01120,35.473197,-119.43327,ang20170915t174749-A,9/15/17,17:47,dairy/manure,3A2 Manure Management,263,64
S01120,35.473197,-119.43327,ang20170915t180634-A,9/15/17,18:06,dairy/manure,3A2 Manure Management,301,54
S01120,35.473197,-119.43327,ang20170920t190925-B,9/20/17,19:09,dairy/manure,3A2 Manure Management,939,291
S01121,35.472841,-119.430768,ang20170915t174749-C,9/15/17,17:47,dairy/manure,3A2 Manure Management,45,30
S01123,35.475418,-119.432672,ang20170915t181122-A,9/15/17,18:11,dairy/manure,3A2 Manure Management,100,42
S01123,35.475418,-119.432672,ang20170920t190925-A,9/20/17,19:09,dairy/manure,3A2 Manure Management,53,19
S01126,34.405393,-118.995761,ang20171016t212508-B,10/16/17,21:25,landfill,4A1 Managed Waste Disposal Sites,428,181
S01126,34.405393,-118.995761,ang20171016t213656-B,10/16/17,21:36,landfill,4A1 Managed Waste Disposal Sites,242,96
S01127,34.403808,-118.996014,ang20171016t202900-C,10/16/17,20:29,landfill,4A1 Managed Waste Disposal Sites,781,406
S01127,34.403808,-118.996014,ang20171016t204547-C,10/16/17,20:45,landfill,4A1 Managed Waste Disposal Sites,371,202
S01131,35.16628,-119.097333,ang20170920t184730-A,9/20/17,18:47,dairy/manure,3A2 Manure Management,249,59
S01132,35.165846,-119.105358,ang20171026t202604-A,10/26/17,20:26,dairy/manure,3A2 Manure Management,104,17
S01133,33.928061,-118.429593,ang20160910t193531-A,9/10/16,19:35,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,114,41
S01134,35.470629,-119.062591,ang20161008t210116-B,10/8/16,21:01,oil/gas pumpjack,1B2 Oil & Natural Gas,139,34
S01134,35.470629,-119.062591,ang20161008t210604-B,10/8/16,21:06,oil/gas pumpjack,1B2 Oil & Natural Gas,108,28
S01134,35.470629,-119.062591,ang20161008t212816-A,10/8/16,21:28,oil/gas pumpjack,1B2 Oil & Natural Gas,83,20
S01135,35.456431,-119.049809,ang20161025t193700-A,10/25/16,19:37,oil/gas pumpjack,1B2 Oil & Natural Gas,131,31
S01136,35.289351,-119.514675,ang20170620t164237-I,6/20/17,16:42,oil/gas gathering line,1B2 Oil & Natural Gas,49,34
S01137,35.177193,-119.123291,ang20171026t202024-B,10/26/17,20:20,dairy/manure - digester,3A2 Manure Management,426,102
S01138,38.014542,-122.11423,ang20170910t200709-C,9/10/17,20:07,refinery,1A1 Energy Industries,,
S01139,35.177193,-119.123291,ang20171026t202024-C,10/26/17,20:20,dairy/manure - digester,3A2 Manure Management,730,211
S01140,37.753073,-121.654641,ang20170618t183142-B,6/18/17,18:31,landfill,4A1 Managed Waste Disposal Sites,1160,302
S01140,37.753073,-121.654641,ang20171006t184753-G,10/6/17,18:47,landfill,4A1 Managed Waste Disposal Sites,,
S01140,37.753073,-121.654641,ang20171006t191011-L,10/6/17,19:10,landfill,4A1 Managed Waste Disposal Sites,,
S01142,37.753039,-121.648198,ang20170618t183142-E,6/18/17,18:31,landfill,4A1 Managed Waste Disposal Sites,304,293
S01142,37.753039,-121.648198,ang20171006t185859-H,10/6/17,18:58,landfill,4A1 Managed Waste Disposal Sites,712,380
S01143,37.754401,-121.649038,ang20171006t185335-M,10/6/17,18:53,landfill,4A1 Managed Waste Disposal Sites,44,18
S01144,37.756183,-121.64937,ang20171006t184157-K,10/6/17,18:41,landfill,4A1 Managed Waste Disposal Sites,105,21
S01144,37.756183,-121.64937,ang20171006t185859-J,10/6/17,18:58,landfill,4A1 Managed Waste Disposal Sites,635,339
S01144,37.756183,-121.64937,ang20171006t190448-H,10/6/17,19:04,landfill,4A1 Managed Waste Disposal Sites,83,12
S01150,37.749203,-121.650146,ang20170618t183142-G,6/18/17,18:31,landfill,4A1 Managed Waste Disposal Sites,45,25
S01152,37.754618,-121.65456,ang20171006t184157-H,10/6/17,18:41,landfill,4A1 Managed Waste Disposal Sites,32,23
S01164,37.755562,-121.655229,ang20171006t184753-D,10/6/17,18:47,landfill,4A1 Managed Waste Disposal Sites,106,36
S01181,38.210109,-121.972806,ang20171006t181027-E,10/6/17,18:10,landfill,4A1 Managed Waste Disposal Sites,72,46
S01182,38.209149,-121.971477,ang20171006t182928-E,10/6/17,18:29,landfill,4A1 Managed Waste Disposal Sites,217,73
S01184,38.209104,-121.974465,ang20171006t182928-F,10/6/17,18:29,landfill,4A1 Managed Waste Disposal Sites,273,167
S01185,38.20819,-121.971588,ang20171006t181027-B,10/6/17,18:10,landfill,4A1 Managed Waste Disposal Sites,318,100
S01185,38.20819,-121.971588,ang20171006t182247-B,10/6/17,18:22,landfill,4A1 Managed Waste Disposal Sites,77,10
S01186,38.20894,-121.975942,ang20171006t181027-H,10/6/17,18:10,landfill,4A1 Managed Waste Disposal Sites,968,252
S01186,38.20894,-121.975942,ang20171006t182247-H,10/6/17,18:22,landfill,4A1 Managed Waste Disposal Sites,872,296
S01187,38.208801,-121.980818,ang20171006t181027-I,10/6/17,18:10,landfill,4A1 Managed Waste Disposal Sites,276,75
S01197,38.16911,-122.565631,ang20170617t200737-C,6/17/17,20:07,landfill,4A1 Managed Waste Disposal Sites,406,83
S01197,38.16911,-122.565631,ang20170620t221828-B,6/20/17,22:18,landfill,4A1 Managed Waste Disposal Sites,76,60
S01197,38.16911,-122.565631,ang20171005t203234-B,10/5/17,20:32,landfill,4A1 Managed Waste Disposal Sites,42,15
S01198,38.166583,-122.562899,ang20170620t221828-C,6/20/17,22:18,landfill,4A1 Managed Waste Disposal Sites,123,57
S01198,38.166583,-122.562899,ang20171005t203234-C,10/5/17,20:32,landfill,4A1 Managed Waste Disposal Sites,56,20
S01199,38.163702,-122.562459,ang20170617t200737-E,6/17/17,20:07,landfill,4A1 Managed Waste Disposal Sites,227,29
S01199,38.163702,-122.562459,ang20170620t221828-D,6/20/17,22:18,landfill,4A1 Managed Waste Disposal Sites,287,83
S01200,38.16244,-122.562501,ang20171005t203234-E,10/5/17,20:32,landfill,4A1 Managed Waste Disposal Sites,146,56
S01207,35.348247,-118.764062,ang20170913t214139-A,9/13/17,21:41,landfill,4A1 Managed Waste Disposal Sites,152,31
S01209,35.350981,-118.765557,ang20170913t214139-C,9/13/17,21:41,landfill,4A1 Managed Waste Disposal Sites,91,28
S01212,35.961584,-120.014157,ang20170920t204106-C,9/20/17,20:41,landfill,4A1 Managed Waste Disposal Sites,116,42
S01213,34.438509,-118.644835,ang20170907t184149-A,9/7/17,18:41,landfill,4A1 Managed Waste Disposal Sites,802,253
S01214,34.432222,-118.648475,ang20170907t184149-B,9/7/17,18:41,landfill,4A1 Managed Waste Disposal Sites,35,8
S01215,34.435505,-118.646214,ang20170907t184149-D,9/7/17,18:41,landfill,4A1 Managed Waste Disposal Sites,98,32
S01217,37.502727,-122.409314,ang20170618t184938-A,6/18/17,18:49,landfill,4A1 Managed Waste Disposal Sites,969,601
S01223,37.50113,-122.413893,ang20171006t215434-E,10/6/17,21:54,landfill,4A1 Managed Waste Disposal Sites,1469,524
S01224,37.498724,-122.412382,ang20171006t215434-G,10/6/17,21:54,landfill,4A1 Managed Waste Disposal Sites,431,250
S01225,37.879613,-121.187221,ang20171003t223216-C,10/3/17,22:32,landfill,4A1 Managed Waste Disposal Sites,285,124
S01230,37.87729,-121.189775,ang20171003t223216-D,10/3/17,22:32,landfill,4A1 Managed Waste Disposal Sites,1084,487
S01235,36.529817,-121.404455,ang20171007t204208-B,10/7/17,20:42,landfill,4A1 Managed Waste Disposal Sites,98,34
S01236,36.53149,-121.406066,ang20171007t204208-C,10/7/17,20:42,landfill,4A1 Managed Waste Disposal Sites,52,17
S01238,37.186083,-121.668055,ang20170618t200113-E,6/18/17,20:01,landfill,4A1 Managed Waste Disposal Sites,40,21
S01238,37.186083,-121.668055,ang20170618t201101-E,6/18/17,20:11,landfill,4A1 Managed Waste Disposal Sites,66,33
S01243,36.710079,-121.758769,ang20171007t202134-C,10/7/17,20:21,landfill,4A1 Managed Waste Disposal Sites,755,124
S01245,36.707818,-121.756435,ang20171007t202134-E,10/7/17,20:21,landfill,4A1 Managed Waste Disposal Sites,97,37
S01247,38.516555,-121.18354,ang20171005t211722-B,10/5/17,21:17,landfill,4A1 Managed Waste Disposal Sites,,
S01247,38.516555,-121.18354,ang20171005t212155-C,10/5/17,21:21,landfill,4A1 Managed Waste Disposal Sites,1058,309
S01250,38.521397,-121.187786,ang20171005t212155-F,10/5/17,21:21,landfill,4A1 Managed Waste Disposal Sites,136,23
S01253,35.508559,-119.410639,ang20171010t204606-B,10/10/17,20:46,landfill,4A1 Managed Waste Disposal Sites,113,19
S01255,35.510677,-119.410975,ang20171113t203340-C,11/13/17,20:33,landfill,4A1 Managed Waste Disposal Sites,112,19
S01256,32.733861,-117.065673,ang20170925t212203-C,9/25/17,21:22,landfill,4A1 Managed Waste Disposal Sites,478,63
S01259,34.594532,-117.268077,ang20160911t174834-D,9/11/16,17:48,landfill,4A1 Managed Waste Disposal Sites,103,61
S01260,34.591648,-117.267149,ang20160911t174834-E,9/11/16,17:48,landfill,4A1 Managed Waste Disposal Sites,54,144
S01261,36.391685,-119.378584,ang20170919t194958-E,9/19/17,19:49,landfill,4A1 Managed Waste Disposal Sites,,
S01262,36.394552,-119.380822,ang20170919t194958-C,9/19/17,19:49,landfill,4A1 Managed Waste Disposal Sites,130,18
S01265,32.85303,-117.167554,ang20170925t214642-C,9/25/17,21:46,landfill,4A1 Managed Waste Disposal Sites,110,30
S01266,32.851861,-117.169522,ang20170925t214642-D,9/25/17,21:46,landfill,4A1 Managed Waste Disposal Sites,46,19
S01267,32.850794,-117.166085,ang20170925t214642-E,9/25/17,21:46,landfill,4A1 Managed Waste Disposal Sites,170,21
S01269,37.759303,-121.728673,ang20170618t182621-N,6/18/17,18:26,landfill,4A1 Managed Waste Disposal Sites,164,45
S01271,37.760983,-121.725803,ang20170618t182621-O,6/18/17,18:26,landfill,4A1 Managed Waste Disposal Sites,366,31
S01272,37.758838,-121.725128,ang20170618t182621-M,6/18/17,18:26,landfill,4A1 Managed Waste Disposal Sites,318,37
S01272,37.758838,-121.725128,ang20171006t185335-A,10/6/17,18:53,landfill,4A1 Managed Waste Disposal Sites,620,132
S01273,37.761967,-121.730355,ang20170620t193453-B,6/20/17,19:34,landfill,4A1 Managed Waste Disposal Sites,122,38
S01280,37.759316,-121.723782,ang20171006t184157-C,10/6/17,18:41,landfill,4A1 Managed Waste Disposal Sites,122,23
S01280,37.759316,-121.723782,ang20171006t190448-C,10/6/17,19:04,landfill,4A1 Managed Waste Disposal Sites,129,27
S01287,33.720434,-117.702768,ang20171023t215031-D,10/23/17,21:50,landfill,4A1 Managed Waste Disposal Sites,709,457
S01287,33.720434,-117.702768,ang20171023t215413-D,10/23/17,21:54,landfill,4A1 Managed Waste Disposal Sites,1240,771
S01288,33.719642,-117.704563,ang20171023t192818-B,10/23/17,19:28,landfill,4A1 Managed Waste Disposal Sites,903,286
S01288,33.719642,-117.704563,ang20171023t215413-E,10/23/17,21:54,landfill,4A1 Managed Waste Disposal Sites,456,324
S01295,33.939325,-117.829606,ang20161006t180917-B,10/6/16,18:09,landfill,4A1 Managed Waste Disposal Sites,30,12
S01296,33.939947,-117.841451,ang20161006t180917-C,10/6/16,18:09,landfill,4A1 Managed Waste Disposal Sites,96,29
S01305,37.459809,-121.944902,ang20170618t192841-D,6/18/17,19:28,landfill,4A1 Managed Waste Disposal Sites,103,55
S01305,37.459809,-121.944902,ang20170618t192841-D,6/18/17,19:28,landfill,4A1 Managed Waste Disposal Sites,118,36
S01305,37.459809,-121.944902,ang20170618t194516-B,6/18/17,19:45,landfill,4A1 Managed Waste Disposal Sites,128,76
S01305,37.459809,-121.944902,ang20171006t213502-D,10/6/17,21:35,landfill,4A1 Managed Waste Disposal Sites,114,28
S01306,37.461392,-121.942007,ang20170618t192841-C,6/18/17,19:28,landfill,4A1 Managed Waste Disposal Sites,379,325
S01308,37.460003,-121.946178,ang20170618t193403-C,6/18/17,19:34,landfill,4A1 Managed Waste Disposal Sites,359,141
S01309,37.460369,-121.942912,ang20170618t193403-D,6/18/17,19:34,landfill,4A1 Managed Waste Disposal Sites,625,259
S01309,37.460369,-121.942912,ang20170618t194516-C,6/18/17,19:45,landfill,4A1 Managed Waste Disposal Sites,296,183
S01311,37.458245,-121.941261,ang20170618t193403-F,6/18/17,19:34,landfill,4A1 Managed Waste Disposal Sites,597,206
S01311,37.458245,-121.941261,ang20170618t194516-E,6/18/17,19:45,landfill,4A1 Managed Waste Disposal Sites,861,451
S01311,37.458245,-121.941261,ang20171005t185616-B,10/5/17,18:56,landfill,4A1 Managed Waste Disposal Sites,336,152
S01311,37.458245,-121.941261,ang20171005t190757-B,10/5/17,19:07,landfill,4A1 Managed Waste Disposal Sites,739,239
S01311,37.458245,-121.941261,ang20171005t192014-A,10/5/17,19:20,landfill,4A1 Managed Waste Disposal Sites,525,164
S01311,37.458245,-121.941261,ang20171005t192606-A,10/5/17,19:26,landfill,4A1 Managed Waste Disposal Sites,1088,476
S01311,37.458245,-121.941261,ang20171006t213502-A,10/6/17,21:35,landfill,4A1 Managed Waste Disposal Sites,777,275
S01311,37.458245,-121.941261,ang20170618t193403-A,10/6/17,21:40,landfill,4A1 Managed Waste Disposal Sites,529,220
S01312,37.459719,-121.937066,ang20170618t193403-G,6/18/17,19:34,landfill,4A1 Managed Waste Disposal Sites,2176,972
S01312,37.459719,-121.937066,ang20170618t194516-F,6/18/17,19:45,landfill,4A1 Managed Waste Disposal Sites,,
S01313,37.457483,-121.943581,ang20171005t185616-C,10/5/17,18:56,landfill,4A1 Managed Waste Disposal Sites,142,89
S01313,37.457483,-121.943581,ang20171005t192014-B,10/5/17,19:20,landfill,4A1 Managed Waste Disposal Sites,710,311
S01313,37.457483,-121.943581,ang20171005t192606-B,10/5/17,19:26,landfill,4A1 Managed Waste Disposal Sites,240,155
S01318,37.458392,-121.947104,ang20171005t185616-D,10/5/17,18:56,landfill,4A1 Managed Waste Disposal Sites,,
S01318,37.458392,-121.947104,ang20171005t190757-D,10/5/17,19:07,landfill,4A1 Managed Waste Disposal Sites,,
S01318,37.458392,-121.947104,ang20171005t192014-C,10/5/17,19:20,landfill,4A1 Managed Waste Disposal Sites,,
S01319,37.457002,-121.938455,ang20171005t185616-E,10/5/17,18:56,landfill,4A1 Managed Waste Disposal Sites,,
S01321,37.459836,-121.941426,ang20171005t190757-C,10/5/17,19:07,landfill,4A1 Managed Waste Disposal Sites,676,237
S01323,37.457752,-121.944994,ang20171006t213502-C,10/6/17,21:35,landfill,4A1 Managed Waste Disposal Sites,,
