New source,Source Latitude (deg),Source Longitude (deg),Plume Latitude (deg),Plume Longitude (deg),Candidate ID,Line name,Date of detection,Time of detection (UTC),Vista ID,Source type (best estimate),Sectors (IPCC),IME/L (kg/m),sIME (kg/m),u10 (m/s),su10 (m/s),Qplume (kg/hr)*,sQplume (kg/hr)*,Nearest facility
S00136,35.13254,-119.486618,35.13254,-119.486618,ang20161104t190838-H,ang20161104t190838,11/4/16,19:08:38,FLD000285,oil/gas pumpjack,1B2 Oil & Natural Gas,0.007,0.002,2.26,0.33,58,18,Midway Sunset Oil & Gas Field
S00137,35.130904,-119.486498,35.130904,-119.486498,ang20161104t190838-I,ang20161104t190838,11/4/16,19:08:38,LNF000028,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.006,0.001,2.26,0.33,47,14,Midway Sunset Oil & Gas Field
S00141,33.779429,-118.235061,33.779429,-118.235061,ang20160910t205021-A,ang20160910t205021,9/10/16,20:50:21,REF000025,refinery,1A1 Energy Industries,0.01,0.003,1.07,0.33,40,17,Valero Refinery
S00145,33.816222,-118.235695,33.816222,-118.235695,ang20160910t205021-E,ang20160910t205021,9/10/16,20:50:21,REF000021,refinery,1A1 Energy Industries,0.003,0.002,1.07,0.33,,,Tesoro - Carson
S00145,33.816222,-118.235695,33.816222,-118.235695,ang20170309t221021-C,ang20170309t221021,3/9/17,22:10:21,REF000021,refinery,1A1 Energy Industries,0.025,0.007,2.41,0.09,220,63,Tesoro - Carson
S00148,35.215095,-119.212564,35.215095,-119.212564,ang20170620t163015-F,ang20170620t163015,6/20/17,16:30:15,DAF000681,dairy/manure,3A2 Manure Management,0.047,0.02,0.88,0.25,,,Palla Rosa Farm BV Dairy
S00149,35.21481,-119.210811,35.21481,-119.210811,ang20160912t205614-B,ang20160912t205614,9/12/16,20:56:14,DAF000681,dairy/manure,3A2 Manure Management,0.027,0.008,3.64,0.13,347,111,Palla Rosa Farm BV Dairy
S00149,35.21481,-119.210811,35.21481,-119.210811,ang20170616t200614-D,ang20170616t200614,6/16/17,20:06:14,DAF000681,dairy/manure,3A2 Manure Management,0.025,0.009,4.92,0.52,441,162,Palla Rosa Farm BV Dairy
S00149,35.21481,-119.210811,35.21481,-119.210811,ang20170926t182523-C,ang20170926t182523,9/26/17,18:25:23,DAF000681,dairy/manure,3A2 Manure Management,0.004,0.001,1.36,0.22,19,6,Palla Rosa Farm BV Dairy
S00149,35.21481,-119.210811,35.21481,-119.210811,ang20171026t202024-D,ang20171026t202024,10/26/17,20:20:24,DAF000681,dairy/manure,3A2 Manure Management,0.008,0.003,2.83,0.09,86,27,Palla Rosa Farm BV Dairy
S00149,35.21481,-119.210811,35.21481,-119.210811,ang20171113t193233-B,ang20171113t193233,11/13/17,19:32:33,DAF000681,dairy/manure,3A2 Manure Management,0.06,0.016,1.9,0.06,409,110,Palla Rosa Farm BV Dairy
S00150,35.243762,-119.157387,35.243762,-119.157387,ang20160912t205614-C,ang20160912t205614,9/12/16,20:56:14,DAF000097,dairy/manure,3A2 Manure Management,0.023,0.006,3.64,0.13,301,79,Belonave Ranch
S00150,35.243762,-119.157387,35.243762,-119.157387,ang20171113t210409-C,ang20171113t210409,11/13/17,21:04:09,DAF000097,dairy/manure,3A2 Manure Management,0.015,0.006,2.55,0.11,137,60,Belonave Ranch
S00151,35.2463,-119.140383,35.2463,-119.140383,ang20160912t205614-D,ang20160912t205614,9/12/16,20:56:14,DAF000608,dairy/manure,3A2 Manure Management,0.018,0.006,3.64,0.13,237,75,MC Moo Farms Dairy
S00151,35.2463,-119.140383,35.2463,-119.140383,ang20170926t185024-B,ang20170926t185024,9/26/17,18:50:24,DAF000608,dairy/manure,3A2 Manure Management,0.008,0.001,1.93,0.09,57,7,MC Moo Farms Dairy
S00151,35.2463,-119.140383,35.2463,-119.140383,ang20170926t214844-B,ang20170926t214844,9/26/17,21:48:44,DAF000608,dairy/manure,3A2 Manure Management,0.004,0.001,2.89,0.23,40,12,MC Moo Farms Dairy
S00152,35.901251,-119.319893,35.901251,-119.319893,ang20160912t220638-A,ang20160912t220638,9/12/16,22:06:38,DAF000487,dairy/manure,3A2 Manure Management,0.013,0.003,4.22,0.17,192,51,South Creek Dairy
S00153,34.901527,-117.159958,34.901527,-117.159958,ang20160913t190124-A,ang20160913t190124,9/13/16,19:01:24,NA,gas compressor,1B2 Oil & Natural Gas,0.009,0.001,5.49,0.21,188,30,Hinkley PG&E Compressor Station
S00156,35.95933,-119.372162,35.95933,-119.372162,ang20160913t202108-B,ang20160913t202108,9/13/16,20:21:08,DAF000531,dairy/manure,3A2 Manure Management,0.007,0.003,0.99,0.31,24,14,K & M Visser Dairy
S00159,35.972715,-119.359036,35.972715,-119.359036,ang20160913t203326-C,ang20160913t203326,9/13/16,20:33:26,DAF000735,dairy/manure,3A2 Manure Management,0.036,0.013,1.32,0.47,173,86,Robert Vander Eyk Dairy
S00160,35.987297,-119.326421,35.987297,-119.326421,ang20160913t203326-B,ang20160913t203326,9/13/16,20:33:26,DAF000435,dairy/manure,3A2 Manure Management,0.028,0.005,1.32,0.47,134,52,Jer-Z- Boys Dairy No.1
S00162,35.971095,-119.440056,35.971095,-119.440056,ang20160913t204410-A,ang20160913t204410,9/13/16,20:44:10,DAF000821,dairy/manure,3A2 Manure Management,0.063,0.034,1.14,0.41,,,South Lakes Dairy
S00164,35.973887,-119.439128,35.973887,-119.439128,ang20160913t204410-C,ang20160913t204410,9/13/16,20:44:10,DAF000821,dairy/manure,3A2 Manure Management,0.012,0.001,1.14,0.41,49,18,South Lakes Dairy
S00165,36.015331,-119.223279,36.015331,-119.223279,ang20160913t204410-D,ang20160913t204410,9/13/16,20:44:10,DAF000491,dairy/manure,3A2 Manure Management,0.009,0.001,1.14,0.41,35,13,Chris & John Jongsma Dairy
S00171,36.028917,-119.324984,36.028917,-119.324984,ang20160913t212101-E,ang20160913t212101,9/13/16,21:21:01,DAF000499,dairy/manure,3A2 Manure Management,0.006,0.001,1.89,0.55,41,13,Unknown agricultural field
S00176,36.021558,-119.519462,36.021558,-119.519462,ang20160913t213245-A,ang20160913t213245,9/13/16,21:32:45,DAF000678,dairy/manure,3A2 Manure Management,0.021,0.008,2.05,0.44,153,70,Pacific Rim Dairy adjacent dairy waste water
S00176,36.021558,-119.519462,36.021558,-119.519462,ang20170309t202411-A,ang20170309t202411,3/9/17,20:24:11,DAF000678,dairy/manure,3A2 Manure Management,0.096,0.019,1.28,0.21,444,116,Pacific Rim Dairy adjacent dairy waste water
S00176,36.021558,-119.519462,36.021558,-119.519462,ang20170616t212046-E,ang20170616t212046,6/16/17,21:20:46,DAF000678,dairy/manure,3A2 Manure Management,0.043,0.02,3.09,0.27,478,222,Pacific Rim Dairy adjacent dairy waste water
S00177,36.032425,-119.510296,36.032425,-119.510296,ang20160913t213245-B,ang20160913t213245,9/13/16,21:32:45,DAF000678,dairy/manure - digester,3A2 Manure Management,0.032,0.014,2.05,0.44,234,113,Pacific Rim Dairy Digester
S00177,36.032425,-119.510296,36.032425,-119.510296,ang20161026t173255-B,ang20161026t173255,10/26/16,17:32:55,DAF000678,dairy/manure - digester,3A2 Manure Management,0.387,0.079,0.56,0.13,,,Pacific Rim Dairy Digester
S00177,36.032425,-119.510296,36.032425,-119.510296,ang20161026t180214-B,ang20161026t180214,10/26/16,18:02:14,DAF000678,dairy/manure - digester,3A2 Manure Management,0.04,0.009,1.01,0.14,,,Pacific Rim Dairy Digester
S00177,36.032425,-119.510296,36.032425,-119.510296,ang20170616t212046-A,ang20170616t212046,6/16/17,21:20:46,DAF000678,dairy/manure - digester,3A2 Manure Management,0.024,0.009,3.09,0.27,272,102,Pacific Rim Dairy Digester
S00177,36.032425,-119.510296,36.032425,-119.510296,ang20170920t193250-A,ang20170920t193250,9/20/17,19:32:50,DAF000678,dairy/manure - digester,3A2 Manure Management,0.022,0.005,2.33,0.1,183,47,Pacific Rim Dairy Digester
S00177,36.032425,-119.510296,36.032425,-119.510296,ang20170920t194154-A,ang20170920t194154,9/20/17,19:41:54,DAF000678,dairy/manure - digester,3A2 Manure Management,0.027,0.006,2.44,0.26,235,59,Pacific Rim Dairy Digester
S00177,36.032425,-119.510296,36.032425,-119.510296,ang20170928t195131-B,ang20170928t195131,9/28/17,19:51:31,DAF000678,dairy/manure - digester,3A2 Manure Management,0.027,0.008,0.76,0.11,,,Pacific Rim Dairy Digester
S00178,36.039506,-119.397976,36.039506,-119.397976,ang20160913t213245-C,ang20160913t213245,9/13/16,21:32:45,DAF000536,dairy/manure,3A2 Manure Management,0.005,0.002,2.05,0.44,40,14,Little Rock Too Dairy
S00181,36.07614,-119.195497,36.07614,-119.195497,ang20160913t213245-F,ang20160913t213245,9/13/16,21:32:45,DAF000290,dairy/manure,3A2 Manure Management,0.006,0.003,2.05,0.44,46,26,Fern Oak Farms Dairy
S00183,36.048957,-119.455761,36.048957,-119.455761,ang20160913t214607-C,ang20160913t214607,9/13/16,21:46:07,DAF000121,dairy/manure,3A2 Manure Management,0.016,0.001,1.98,0.48,116,30,Bosman Dairy
S00186,36.087875,-119.237017,36.087875,-119.237017,ang20160913t214607-F,ang20160913t214607,9/13/16,21:46:07,DAF000192,dairy/manure,3A2 Manure Management,0.013,0.006,1.98,0.48,96,46,De Boer Dairy
S00191,36.115762,-119.362097,36.115762,-119.362097,ang20160914t184032-A,ang20160914t184032,9/14/16,18:40:32,DAF000262,dairy/manure,3A2 Manure Management,0.01,0.003,2.02,0.41,70,28,Elk Creek Dairy
S00191,36.115762,-119.362097,36.115762,-119.362097,ang20170616t210522-F,ang20170616t210522,6/16/17,21:05:22,DAF000262,dairy/manure,3A2 Manure Management,0.005,0.001,3.19,0.23,59,10,Elk Creek Dairy
S00192,36.125925,-119.341317,36.125925,-119.341317,ang20160914t184032-B,ang20160914t184032,9/14/16,18:40:32,DAF000618,dairy/manure,3A2 Manure Management,0.01,0.003,2.02,0.41,70,28,Melvin Simoes Dairy #3
S00193,36.11623,-119.334158,36.11623,-119.334158,ang20160914t184032-C,ang20160914t184032,9/14/16,18:40:32,DAF000814,dairy/manure,3A2 Manure Management,0.01,0.003,2.02,0.41,70,28,Triple V Dairy
S00193,36.11623,-119.334158,36.11623,-119.334158,ang20170309t202411-F,ang20170309t202411,3/9/17,20:24:11,DAF000814,dairy/manure,3A2 Manure Management,0.025,0.005,1.28,0.21,113,31,Triple V Dairy
S00194,36.128471,-119.431081,36.128471,-119.431081,ang20160914t185349-A,ang20160914t185349,9/14/16,18:53:49,DAF000037,dairy/manure,3A2 Manure Management,0.013,0.002,1.85,0.26,89,17,Airoso Dairy
S00195,36.156313,-119.240403,36.156313,-119.240403,ang20160914t185349-B,ang20160914t185349,9/14/16,18:53:49,DAF000118,dairy/manure,3A2 Manure Management,0.015,0.004,1.85,0.26,98,29,Bos Dairy
S00196,36.161055,-119.21783,36.161055,-119.21783,ang20160914t185349-C,ang20160914t185349,9/14/16,18:53:49,DAF000870,dairy/manure,3A2 Manure Management,0.01,0.001,1.85,0.26,66,10,Bos Dairy
S00198,37.123294,-120.363508,37.123294,-120.363508,ang20160919t205955-A,ang20160919t205955,9/19/16,20:59:55,DAF000286,dairy/manure,3A2 Manure Management,0.007,0.002,2.48,0.24,60,20,Faust Family Dairy
S00199,37.157279,-120.39167,37.157279,-120.39167,ang20160919t205955-B,ang20160919t205955,9/19/16,20:59:55,DAF000878,dairy/manure,3A2 Manure Management,0.092,0.03,2.48,0.24,822,280,Vista Verde Dairy
S00200,37.208738,-120.463782,37.208738,-120.463782,ang20160919t205955-C,ang20160919t205955,9/19/16,20:59:55,DAF000054,dairy/manure,3A2 Manure Management,0.035,0.011,2.48,0.24,312,100,Unknown Dairy 29
S00201,37.180219,-120.435275,37.180219,-120.435275,ang20160919t211311-A,ang20160919t211311,9/19/16,21:13:11,DAF000738,dairy/manure,3A2 Manure Management,0.017,0.01,1.75,0.34,108,64,Rock-Shar Dairy
S00203,36.0333,-119.404789,36.0333,-119.404789,ang20160922t183143-B,ang20160922t183143,9/22/16,18:31:43,DAF000781,dairy/manure,3A2 Manure Management,0.011,0.002,4.06,0.08,167,30,Sousa & Sousa III Dairy
S00204,36.0388,-119.397933,36.0388,-119.397933,ang20160922t183143-C,ang20160922t183143,9/22/16,18:31:43,DAF000536,dairy/manure,3A2 Manure Management,0.01,0.004,4.06,0.08,143,55,Little Rock Too Dairy
S00204,36.0388,-119.397933,36.0388,-119.397933,ang20170616t204313-B,ang20170616t204313,6/16/17,20:43:13,DAF000536,dairy/manure,3A2 Manure Management,0.029,0.01,3.13,0.05,331,117,Little Rock Too Dairy
S00205,36.053206,-119.397717,36.053206,-119.397717,ang20160922t184215-A,ang20160922t184215,9/22/16,18:42:15,DAF000272,dairy/manure,3A2 Manure Management,0.004,0.001,3.98,0.05,59,16,F & L Barcellos Dairy
S00205,36.053206,-119.397717,36.053206,-119.397717,ang20160922t192359-B,ang20160922t192359,9/22/16,19:23:59,DAF000272,dairy/manure,3A2 Manure Management,0.004,0.001,3.78,0.07,53,19,F & L Barcellos Dairy
S00206,36.227194,-119.163803,36.227194,-119.163803,ang20160922t184215-D,ang20160922t184215,9/22/16,18:42:15,DAF000395,dairy/manure,3A2 Manure Management,0.008,0.003,3.98,0.05,119,44,Hilarides Dairy
S00207,36.156683,-119.283083,36.156683,-119.283083,ang20160922t185237-A,ang20160922t185237,9/22/16,18:52:37,DAF000171,dairy/manure,3A2 Manure Management,0.019,0.008,3.93,0.09,270,114,Riverbend Dairy
S00207,36.156683,-119.283083,36.156683,-119.283083,ang20160922t193350-A,ang20160922t193350,9/22/16,19:33:50,DAF000171,dairy/manure,3A2 Manure Management,0.016,0.002,3.86,0.08,220,34,Riverbend Dairy
S00208,36.212731,-119.199039,36.212731,-119.199039,ang20160922t185237-B,ang20160922t185237,9/22/16,18:52:37,DAF000676,dairy/manure,3A2 Manure Management,0.01,0.003,3.93,0.09,142,36,Oakbend Dairy
S00208,36.212731,-119.199039,36.212731,-119.199039,ang20160922t201314-E,ang20160922t201314,9/22/16,20:13:14,DAF000676,dairy/manure,3A2 Manure Management,0.005,0.001,4.36,0.13,80,22,Oakbend Dairy
S00208,36.212731,-119.199039,36.212731,-119.199039,ang20160922t213141-E,ang20160922t213141,9/22/16,21:31:41,DAF000676,dairy/manure,3A2 Manure Management,0.002,0.001,5.03,0.12,,,Oakbend Dairy
S00209,36.086742,-119.335558,36.086742,-119.335558,ang20170616t204313-G,ang20170616t204313,6/16/17,20:43:13,DAF000260,dairy/manure,3A2 Manure Management,0.011,0.001,3.13,0.05,120,10,El Monte Dairy
S00210,36.115411,-119.290731,36.115411,-119.290731,ang20160922t191333-B,ang20160922t191333,9/22/16,19:13:33,DAF000723,dairy/manure,3A2 Manure Management,0.008,0.003,3.85,0.18,105,38,Ribeiro Dairy
S00210,36.115411,-119.290731,36.115411,-119.290731,ang20160922t203245-D,ang20160922t203245,9/22/16,20:32:45,DAF000723,dairy/manure,3A2 Manure Management,0.004,0,4.49,0.09,57,2,Ribeiro Dairy
S00211,36.15645,-119.265519,36.15645,-119.265519,ang20160922t192359-E,ang20160922t192359,9/22/16,19:23:59,DAF000308,dairy/manure,3A2 Manure Management,0.042,0.012,3.78,0.07,578,166,FM Ranch #4 Dairy
S00211,36.15645,-119.265519,36.15645,-119.265519,ang20160922t193350-B,ang20160922t193350,9/22/16,19:33:50,DAF000308,dairy/manure,3A2 Manure Management,0.005,0.002,3.86,0.08,68,23,FM Ranch #4 Dairy
S00212,36.228897,-119.163339,36.228897,-119.163339,ang20160922t192359-G,ang20160922t192359,9/22/16,19:23:59,DAF000395,dairy/manure,3A2 Manure Management,0.002,0.001,3.78,0.07,,,Hilarides Dairy
S00212,36.228897,-119.163339,36.228897,-119.163339,ang20160922t200330-G,ang20160922t200330,9/22/16,20:03:30,DAF000395,dairy/manure,3A2 Manure Management,0.003,0.001,4.43,0.2,55,11,Hilarides Dairy
S00213,36.231989,-119.165994,36.231989,-119.165994,ang20160922t193350-C,ang20160922t193350,9/22/16,19:33:50,DAF000395,dairy/manure,3A2 Manure Management,0.006,0.001,3.86,0.08,84,11,Hilarides Dairy
S00213,36.231989,-119.165994,36.231989,-119.165994,ang20160922t200330-H,ang20160922t200330,9/22/16,20:03:30,DAF000395,dairy/manure,3A2 Manure Management,0.004,0.001,4.43,0.2,68,16,Hilarides Dairy
S00214,36.213717,-119.166192,36.213717,-119.166192,ang20160922t195333-A,ang20160922t195333,9/22/16,19:53:33,DAF000676,dairy/manure,3A2 Manure Management,0.001,0.004,3.8,0.17,,,Pacheco & Fagundes Dairy
S00216,36.225906,-119.163628,36.225906,-119.163628,ang20160922t200330-E,ang20160922t200330,9/22/16,20:03:30,DAF000395,dairy/manure,3A2 Manure Management,0.004,0.002,4.43,0.2,70,33,Hilarides Dairy
S00217,36.226481,-119.163614,36.226481,-119.163614,ang20170616t204313-M,ang20170616t204313,6/16/17,20:43:13,DAF000395,dairy/manure,3A2 Manure Management,0.011,0.004,3.13,0.05,127,47,Hilarides Dairy
S00218,36.120294,-119.314661,36.120294,-119.314661,ang20160922t201314-B,ang20160922t201314,9/22/16,20:13:14,DAF000409,dairy/manure,3A2 Manure Management,0.004,0.001,4.36,0.13,60,10,Unknown dairy 13
S00219,36.156683,-119.28225,36.156683,-119.28225,ang20160922t201314-C,ang20160922t201314,9/22/16,20:13:14,DAF000171,dairy/manure,3A2 Manure Management,0.016,0.006,4.36,0.13,247,98,Riverbend Dairy
S00219,36.156683,-119.28225,36.156683,-119.28225,ang20160922t205234-A,ang20160922t205234,9/22/16,20:52:34,DAF000171,dairy/manure,3A2 Manure Management,0.004,0,4.5,0.1,72,5,Riverbend Dairy
S00219,36.156683,-119.28225,36.156683,-119.28225,ang20160922t213141-D,ang20160922t213141,9/22/16,21:31:41,DAF000171,dairy/manure,3A2 Manure Management,0.01,0.001,5.03,0.12,174,23,Riverbend Dairy
S00220,36.10245,-119.373447,36.10245,-119.373447,ang20160922t202316-B,ang20160922t202316,9/22/16,20:23:16,DAF000069,dairy/manure,3A2 Manure Management,0.022,0.007,4.52,0.17,355,116,Aukeman Farms Dairy
S00220,36.10245,-119.373447,36.10245,-119.373447,ang20170309t202411-E,ang20170309t202411,3/9/17,20:24:11,DAF000069,dairy/manure,3A2 Manure Management,0.072,0.024,1.28,0.21,332,125,Aukeman Farms Dairy
S00220,36.10245,-119.373447,36.10245,-119.373447,ang20170616t210522-D,ang20170616t210522,6/16/17,21:05:22,DAF000069,dairy/manure,3A2 Manure Management,0.074,0.022,3.19,0.23,848,264,Aukeman Farms Dairy
S00220,36.10245,-119.373447,36.10245,-119.373447,ang20170618t235257-B,ang20170618t235257,6/18/17,23:52:57,DAF000069,dairy/manure,3A2 Manure Management,0.014,0.002,4.88,0.27,244,36,Aukeman Farms Dairy
S00221,36.144926,-119.265033,36.144926,-119.265033,ang20160922t203245-E,ang20160922t203245,9/22/16,20:32:45,DAF000693,dairy/manure,3A2 Manure Management,0.005,0.001,4.49,0.09,86,10,Pete Vander Poel Dairy
S00222,36.15599,-119.239877,36.15599,-119.239877,ang20160922t183143-F,ang20160922t183143,9/22/16,18:31:43,DAF000118,dairy/manure,3A2 Manure Management,0.011,0.002,4.06,0.08,167,30,Bos Dairy
S00222,36.15599,-119.239877,36.15599,-119.239877,ang20160922t203245-F,ang20160922t203245,9/22/16,20:32:45,DAF000118,dairy/manure,3A2 Manure Management,0.002,0,4.49,0.09,,,Bos Dairy
S00223,36.227544,-119.1638,36.227544,-119.1638,ang20160922t204244-B,ang20160922t204244,9/22/16,20:42:44,DAF000395,dairy/manure,3A2 Manure Management,0.022,0.006,4.43,0.2,358,99,Hilarides Dairy
S00225,36.169633,-119.275167,36.169633,-119.275167,ang20160922t194340-B,ang20160922t194340,9/22/16,19:43:40,DAF000843,dairy/manure,3A2 Manure Management,0.007,0.003,3.86,0.16,98,37,Triple H Dairy No. 1
S00226,36.1592,-119.264719,36.1592,-119.264719,ang20160922t212208-A,ang20160922t212208,9/22/16,21:22:08,DAF000308,dairy/manure,3A2 Manure Management,0.009,0.001,5,0.16,170,16,FM Ranch #4 Dairy
S00228,36.227544,-119.1638,36.227544,-119.1638,ang20160922t204244-C,ang20160922t204244,9/22/16,20:42:44,DAF000395,dairy/manure,3A2 Manure Management,0.006,0.001,4.43,0.2,98,16,Hilarides Dairy
S00229,36.070231,-119.389494,36.070231,-119.389494,ang20160922t213141-A,ang20160922t213141,9/22/16,21:31:41,DAF000206,dairy/manure,3A2 Manure Management,0.01,0.004,5.03,0.12,188,73,DEL - ARCO Dairy
S00231,36.077042,-119.385425,36.077042,-119.385425,ang20160922t213141-C,ang20160922t213141,9/22/16,21:31:41,DAF000659,dairy/manure,3A2 Manure Management,0.012,0.004,5.03,0.12,215,81,Oak Creek Jerseys
S00231,36.077042,-119.385425,36.077042,-119.385425,ang20170616t205457-C,ang20170616t205457,6/16/17,20:54:57,DAF000659,dairy/manure,3A2 Manure Management,0.068,0.043,3.08,0.17,757,475,Oak Creek Jerseys
S00232,36.224978,-119.179433,36.224978,-119.179433,ang20160922t201314-G,ang20160922t201314,9/22/16,20:13:14,DAF000389,dairy/manure,3A2 Manure Management,0.006,0.001,4.36,0.13,97,17,Unknown dairy 14
S00233,36.226486,-119.180164,36.226486,-119.180164,ang20160922t213141-F,ang20160922t213141,9/22/16,21:31:41,DAF000389,dairy/manure,3A2 Manure Management,0.006,0.001,5.03,0.12,106,24,Unknown dairy 14
S00234,36.156758,-119.283103,36.156758,-119.283103,ang20160922t214116-A,ang20160922t214116,9/22/16,21:41:16,DAF000171,dairy/manure,3A2 Manure Management,0.003,0.001,5.07,0.16,,,Riverbend Dairy
S00238,36.35255952,-119.4956613,36.35255952,-119.4956613,ang20160916t200814-A,ang20160916t200814,9/16/16,20:08:14,DAF000385,dairy/manure,3A2 Manure Management,0.011,0.002,3.4,0.2,140,27,De Groot Dairies-North
S00240,36.38761556,-119.3264825,36.38761556,-119.3264825,ang20160916t200814-C,ang20160916t200814,9/16/16,20:08:14,DAF000502,dairy/manure,3A2 Manure Management,0.022,0.005,3.4,0.2,266,63,Rancho Sierra Vista Dairy
S00244,36.38778237,-119.4226119,36.38778237,-119.4226119,ang20160916t202433-D,ang20160916t202433,9/16/16,20:24:33,DAF000235,dairy/manure,3A2 Manure Management,0.02,0.003,3.12,0.14,229,33,Double J Dairy
SLF029,36.39318353,-119.379196,36.39318353,-119.379196,ang20160916t202433-H,ang20160916t202433,9/16/16,20:24:33,DAF000631,landfill,4A1 Managed Waste Disposal Sites,0.052,0.01,3.12,0.14,585,118,Visalia Disposal Site
S00251,36.41236031,-119.3673429,36.41236031,-119.3673429,ang20160916t204345-B,ang20160916t204345,9/16/16,20:43:45,DAF000787,dairy/manure,3A2 Manure Management,0.022,0.006,3.11,0.16,250,63,Milky Way Dairy
S00252,36.396226,-119.522608,36.396226,-119.522608,ang20160916t205810-A,ang20160916t205810,9/16/16,20:58:10,NA,dairy/manure,3A2 Manure Management,0.009,0.003,3.3,0.14,109,34,David Te Velde Dairy
S00258,36.45454256,-119.281599,36.45454256,-119.281599,ang20160916t211157-F,ang20160916t211157,9/16/16,21:11:57,DAF000199,dairy/manure,3A2 Manure Management,0.008,0.002,3.79,0.15,109,29,De Jong Dairy Farms Inc.
S00259,36.45305909,-119.3989697,36.45305909,-119.3989697,ang20160916t212645-A,ang20160916t212645,9/16/16,21:26:45,DAF000377,dairy/manure,3A2 Manure Management,0.006,0.002,3.28,0.16,74,24,Gerrit Griffioen Dairy
S00260,36.47185445,-119.2705719,36.47185445,-119.2705719,ang20160916t212645-B,ang20160916t212645,9/16/16,21:26:45,DAF000212,dairy/manure,3A2 Manure Management,0.012,0.001,3.28,0.16,144,18,Dennis Boertje & Son Dairy
S00264,36.471904,-119.343116,36.471904,-119.343116,ang20160917t185714-A,ang20160917t185714,9/17/16,18:57:14,DAF000263,dairy/manure,3A2 Manure Management,0.023,0.004,1.76,0.23,143,33,Elkhorn Dairy
S00265,36.42610376,-119.7334187,36.42610376,-119.7334187,ang20160917t191047-A,ang20160917t191047,9/17/16,19:10:47,DAF000726,dairy/manure,3A2 Manure Management,0.046,0.022,0.68,0.08,,,River Oaks Dairy
S00267,36.41410765,-119.864372,36.41410765,-119.864372,ang20160917t192524-A,ang20160917t192524,9/17/16,19:25:24,DAF000334,dairy/manure,3A2 Manure Management,0.015,0.005,0.93,0.14,,,Frank S. Brown Co. Dairy
S00268,36.44862248,-119.7539964,36.44862248,-119.7539964,ang20160917t193841-A,ang20160917t193841,9/17/16,19:38:41,DAF000590,dairy/manure,3A2 Manure Management,0.035,0.014,0.67,0.07,,,Maple Dairy - Zonneveld Dairies Inc
S00269,36.4560278,-119.7704082,36.4560278,-119.7704082,ang20160917t193841-B,ang20160917t193841,9/17/16,19:38:41,DAF000909,dairy/manure,3A2 Manure Management,0.013,0.003,0.67,0.07,,,Zonneveld Dairies Complex
S00270,36.43606256,-120.0102022,36.43606256,-120.0102022,ang20160917t210125-A,ang20160917t210125,9/17/16,21:01:25,DAF000411,dairy/manure,3A2 Manure Management,0.021,0.001,2.01,0.21,153,18,J & D Wilson & Sons Dairy
S00272,36.48266205,-120.074233,36.48266205,-120.074233,ang20160917t211125-B,ang20160917t211125,9/17/16,21:11:25,DAF000759,dairy/manure,3A2 Manure Management,0.004,0.002,2.01,0.26,25,15,Shady Acres Dairy No. 2
S00273,36.43666441,-119.98748,36.43666441,-119.98748,ang20160917t211125-C,ang20160917t211125,9/17/16,21:11:25,DAF000519,dairy/manure,3A2 Manure Management,0.014,0.005,2.01,0.26,105,36,L& J Vanderham Dairy
S00276,36.58302415,-120.0549883,36.58302415,-120.0549883,ang20160919t182830-A,ang20160919t182830,9/19/16,18:28:30,NA,dairy/manure,3A2 Manure Management,0.01,0.004,1.68,0.07,62,24,Lone Oak Farms Dairy # 2
S00277,36.53037497,-119.9751006,36.53037497,-119.9751006,ang20160919t182830-B,ang20160919t182830,9/19/16,18:28:30,DAF000801,dairy/manure,3A2 Manure Management,0.007,0.006,1.68,0.07,44,33,Sweet Haven Dairy
S00278,37.2696388,-120.3694012,37.2696388,-120.3694012,ang20160919t193800-A,ang20160919t193800,9/19/16,19:38:00,DAF000805,dairy/manure,3A2 Manure Management,0.008,0.002,3.11,0.22,94,21,Unknown dairy 12
S00280,37.21535288,-120.4233162,37.21535288,-120.4233162,ang20160919t203241-A,ang20160919t203241,9/19/16,20:32:41,DAF000527,dairy/manure,3A2 Manure Management,0.015,0.007,2.94,0.17,159,73,"Meirinho Holsteins, LP"
S00281,37.23318326,-120.4561616,37.23318326,-120.4561616,ang20160919t204619-A,ang20160919t204619,9/19/16,20:46:19,DAF000825,dairy/manure,3A2 Manure Management,0.011,0.002,2.56,0.29,104,21,Hoogendam Dairy
S00284,37.16649246,-120.3741186,37.16649246,-120.3741186,ang20160919t204619-D,ang20160919t204619,9/19/16,20:46:19,DAF000196,dairy/manure,3A2 Manure Management,0.018,0.001,2.56,0.29,169,21,De Jager Dairy So
S00286,35.474958,-119.431682,35.47495831,-119.431682,ang20161025t230649-A,ang20161025t230649,10/25/16,23:06:49,DAF000888,dairy/manure,3A2 Manure Management,0.023,0.004,2.83,0.11,236,46,West-Star North Dairy
S00286,35.474958,-119.431682,35.474958,-119.431682,ang20171113t215730-A,ang20171113t215730,11/13/17,21:57:30,DAF000888,dairy/manure,3A2 Manure Management,0.067,0.031,0.79,0.11,,,West-Star North Dairy
S00288,36.0490891,-119.4559102,36.0490891,-119.4559102,ang20161026t173255-A,ang20161026t173255,10/26/16,17:32:55,DAF000121,dairy/manure,3A2 Manure Management,0.037,0.019,0.56,0.13,,,Bosman Dairy
