New source,Source Latitude (deg),Source Longitude (deg),Plume Latitude (deg),Plume Longitude (deg),Candidate ID,Line name,Date of detection,Time of detection (UTC),Vista ID,Source type (best estimate),Sectors (IPCC),IME/L (kg/m),sIME (kg/m),u10 (m/s),su10 (m/s),Qplume (kg/hr)*,sQplume (kg/hr)*,Nearest facility
S00118,35.507479,-119.074209,35.507479,-119.074209,ang20161008t204039-E,ang20161008t204039,10/8/16,20:40:39,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,0.008,0.001,4.49,0.83,126,25,Poso Creek Oil & Gas Field
S00118,35.507479,-119.074209,35.507479,-119.074209,ang20161008t213955-H,ang20161008t213955,10/8/16,21:39:55,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,0.009,0.002,5.24,0.9,165,52,Poso Creek Oil & Gas Field
S00118,35.507479,-119.074209,35.507479,-119.074209,ang20161025t192103-D,ang20161025t192103,10/25/16,19:21:03,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,0.01,0.002,2.95,0.37,109,24,Poso Creek Oil & Gas Field
S00118,35.507479,-119.074209,35.507479,-119.074209,ang20161025t192916-M,ang20161025t192916,10/25/16,19:29:16,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,0.014,0.001,3.08,0.29,156,19,Poso Creek Oil & Gas Field
S00118,35.507479,-119.074209,35.507479,-119.074209,ang20170908t210512-F,ang20170908t210512,9/8/17,21:05:12,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,0.01,0.002,9.07,0.19,314,74,Poso Creek Oil & Gas Field
S00119,35.347555,-119.662763,35.474918,-119.430552,ang20170915t180634-C,ang20170915t180634,9/15/17,18:06:34,DAF000888,dairy/manure,3A2 Manure Management,0.009,0.003,3.39,0.13,104,39,West-Star North Dairy
S00119,35.347555,-119.662763,35.347555,-119.662763,ang20170920t190925-D,ang20170920t190925,9/20/17,19:09:25,DAF000888,oil/gas gathering line,1B2 Oil & Natural Gas,0.054,0.01,3.51,0.28,683,133,Cymric Oil & Gas Field
S00120,35.238214,-119.591423,35.238214,-119.591423,ang20161029t201950-A,ang20161029t201950,10/29/16,20:19:50,LNF000030,oil/gas gathering line,1B2 Oil & Natural Gas,0.021,0.008,3.53,0.33,263,101,Midway Sunset Oil & Gas Field
S00121,35.364672,-119.670044,35.364672,-119.670044,ang20170902t211355-A,ang20170902t211355,9/2/17,21:13:55,FLD000112,oil/gas gathering line,1B2 Oil & Natural Gas,0.005,0,4.24,0.05,80,3,Cymric Oil & Gas Field
S00122,35.480495,-119.743093,35.480495,-119.743093,ang20161029t200719-D,ang20161029t200719,10/29/16,20:07:19,NPP000003,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.01,0.005,3.24,0.25,111,55,Belridge Gas Plant
S00123,35.52916,-119.769459,35.52916,-119.769459,ang20161029t200719-E,ang20161029t200719,10/29/16,20:07:19,FLD000027,oil/gas gathering line,1B2 Oil & Natural Gas,0.012,0.003,3.24,0.25,136,34,Belridge North Oil & Gas Field
S00124,35.227174,-119.578357,35.227174,-119.578357,ang20161029t201950-B,ang20161029t201950,10/29/16,20:19:50,FLD000285,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.013,0.002,3.53,0.33,167,31,Midway Sunset Oil & Gas Field
S00125,35.248,-119.58079,35.248,-119.58079,ang20161029t201950-C,ang20161029t201950,10/29/16,20:19:50,LNF000030,oil/gas gathering line,1B2 Oil & Natural Gas,0.031,0.009,3.53,0.33,393,119,Midway Sunset Oil & Gas Field
S00126,35.253589,-119.586534,35.253589,-119.586534,ang20161029t201950-D,ang20161029t201950,10/29/16,20:19:50,LNF000030,oil/gas gathering line,1B2 Oil & Natural Gas,0.028,0.009,3.53,0.33,352,118,Midway Sunset Oil & Gas Field
S00127,35.341929,-119.646098,35.341929,-119.646098,ang20161029t201950-E,ang20161029t201950,10/29/16,20:19:50,FLD000112,oil/gas gathering line,1B2 Oil & Natural Gas,0.012,0.003,3.53,0.33,146,41,Cymric Oil & Gas Field
S00128,35.429546,-119.690223,35.429546,-119.690223,ang20161029t201950-F,ang20161029t201950,10/29/16,20:19:50,FLD000028,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,0.011,0.003,3.53,0.33,136,40,Belridge South Oil & Gas Field
