Source identifier ,Source latitude (deg),Source longitude (deg),Vista ID,Source type ,IPCC sector,N overflights,Source Persistence (f),Confidence in persistence ,Qsource (kg/hr),sQ  (kg/hr)
S00388,35.479,-119.0625,FLD000207,oil/gas pumpjack,1B2 Oil & Natural Gas,16,0.06,1,8.6,1.8
S00389,35.5824,-119.7158,FLD000265,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,15.8,6.9
S00391,35.2604,-119.3923,FLD000140,oil/gas pumpjack,1B2 Oil & Natural Gas,11,0.09,1,23.1,6.8
S00392,35.5038,-119.0733,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,15,0.07,1,10.4,2.4
S00402,39.3484,-121.8205,COM000521,gas storage facility,1B2 Oil & Natural Gas,6,0.17,0.8,120.7,35.4
S00403,37.9954,-121.478,NSF000010,gas storage facility,1B2 Oil & Natural Gas,17,0.12,1,11.2,4.1
S00500,34.3078,-118.5499,NSF000001,gas storage facility,1B2 Oil & Natural Gas,60,0.23,1,46,16.6
S00501,38.1598,-121.9058,NSF000004,gas storage facility,1B2 Oil & Natural Gas,4,0.25,0.7,25,4.5
S00502,37.9953,-121.4781,NSF000010,gas storage facility,1B2 Oil & Natural Gas,17,0.65,1,212.5,93.6
S00503,38.2016,-121.213,NSF000007,gas storage facility,1B2 Oil & Natural Gas,5,0.4,0.8,32.2,12.9
S00504,35.2807,-119.4726,FAB002249,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,18,0.06,1,48.2,9.2
S00505,35.279,-119.476,PWP000135,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,19,0.21,1,55.3,17.3
S00506,35.2777,-119.4796,FLD000140,gas processing plant,1B2 Oil & Natural Gas,18,0.28,1,23.4,9.5
S00507,35.0619,-119.0262,COM000278,oil/gas compressor,1B2 Oil & Natural Gas,16,0.5,1,537,139.4
S00600,35.4963,-119.0088,COM000260,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,10,0.1,0.9,27.4,1.5
S00601,35.5092,-119.0362,FLD000207,oil/gas tank,1B2 Oil & Natural Gas,8,0.13,0.9,63.7,29.4
S00602,35.5308,-119.0737,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,15,0.07,1,32.5,7.9
S00603,35.4856,-119.0611,FLD000207,oil/gas pumpjack,1B2 Oil & Natural Gas,9,0.11,0.9,15.8,4.5
S00604,35.4883,-119.0677,FLD000207,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,10,0.1,0.9,15.7,4.4
